1. Giá trị dự kiến (Perceived Usefulness) [1. Tôi sẽ hoàn thành công việc nhanh hơn khi sử dụng AI.];1. Giá trị dự kiến (Perceived Usefulness) [2. Sử dụng AI sẽ cải thiện kết quả công việc của tôi.];1. Giá trị dự kiến (Perceived Usefulness) [3. Sử dụng AI trong công việc sẽ giúp tăng năng suất lao động. (Năng suất phản ánh khối lượng công việc có thể làm trong một giờ lao động)];1. Giá trị dự kiến (Perceived Usefulness) [4. Sử dụng AI sẽ giúp tôi nâng cao hiệu quả công việc. (Hiệu quả là khả năng hoàn thành đúng công việc được giao và tạo ra nhiều giá trị nhất có thể so với mục tiêu được đề ra ban đầu)];1. Giá trị dự kiến (Perceived Usefulness) [5. Tôi sẽ làm việc dễ dàng hơn khi sử dụng AI.];1. Giá trị dự kiến (Perceived Usefulness) [6. Tôi cảm thấy việc sử dụng AI sẽ hữu ích đối với công việc của mình.];2. Độ dễ dàng sử dụng dự kiến (Perceived Ease of Use) [1. Tôi cảm thấy việc học cách sử dụng AI khá dễ dàng.];2. Độ dễ dàng sử dụng dự kiến (Perceived Ease of Use) [2. Tôi cảm thấy việc điều khiển AI theo ý muốn khá dễ dàng.];2. Độ dễ dàng sử dụng dự kiến (Perceived Ease of Use) [3. Tôi cảm thấy việc tương tác với AI rất dễ hiểu.];2. Độ dễ dàng sử dụng dự kiến (Perceived Ease of Use) [4. Tôi cảm thấy AI có thể tương tác linh hoạt.];2. Độ dễ dàng sử dụng dự kiến (Perceived Ease of Use) [5. Tôi cảm thấy việc sử dụng thành thạo AI khá dễ dàng.];2. Độ dễ dàng sử dụng dự kiến (Perceived Ease of Use) [6. Tôi cảm thấy các ứng dụng AI dễ sử dụng.];3. Quy mô của cộng đồng (Community Size) [1. Tôi có để ý tới bài đăng/bình luận trong cộng đồng.];3. Quy mô của cộng đồng (Community Size) [2. Có rất nhiều người dùng tham gia cộng đồng này.];4. Cơ cấu của cộng đồng (Community Structure) [1. Có nhiều người dùng đăng tải bài viết và bình luận trong cộng đồng này.];4. Cơ cấu của cộng đồng (Community Structure) [2. Hầu hết các bài đăng và bình luận được tạo ra bởi chỉ 1 vài người dùng tích cực hoạt động trong cộng đồng.];5. Người dùng dẫn đầu (Community Lead user) [1. Các bài viết và bình luận trong cộng đồng được đăng tải bởi các chuyên gia trong lĩnh vực.];5. Người dùng dẫn đầu (Community Lead user) [2. Các bài viết và bình luận trong cộng đồng được đăng tải bởi những người đáng tin cậy.];6. Môi trường cộng đồng (Community Environment) [1. Các nền tảng cộng đồng trực tuyến nhìn chung hoạt động rất hiệu quả.];6. Môi trường cộng đồng (Community Environment) [2. Các nền tảng cộng đồng trực tuyến được thiết kế hiệu quả.];6. Môi trường cộng đồng (Community Environment) [3. Chất lượng của các nền tảng cộng đồng trực tuyến thường rất cao.];6. Môi trường cộng đồng (Community Environment) [4. Người dùng trên các nền tảng cộng đồng trực tuyến thường rất tử tế.];6. Môi trường cộng đồng (Community Environment) [5. Tôi gặp được những người hay ho trên các nền tảng cộng đồng trực tuyến.];6. Môi trường cộng đồng (Community Environment) [6. Tôi thường có cảm tình với những người mà tôi gặp được các nền tảng cộng đồng trực tuyến.]
Rất đồng ý;Có thể đồng ý;Có thể đồng ý;Rất đồng ý;Có thể đồng ý;Rất đồng ý;Đồng ý;Rất đồng ý;Có thể đồng ý;Đồng ý;Rất đồng ý;Đồng ý;Rất đồng ý;Có thể đồng ý;Rất đồng ý;Có thể đồng ý;Rất đồng ý;Đồng ý;Đồng ý;Rất đồng ý;Đồng ý;Đồng ý;Rất đồng ý;Rất đồng ý
Có thể không đồng ý;Có thể đồng ý;Có thể đồng ý;Có thể không đồng ý;Có thể đồng ý;Có thể không đồng ý;Không đồng ý;Có thể không đồng ý;Có thể đồng ý;Không đồng ý;Có thể không đồng ý;Không đồng ý;Có thể không đồng ý;Có thể đồng ý;Có thể không đồng ý;Có thể đồng ý;Có thể không đồng ý;Không đồng ý;Không đồng ý;Có thể không đồng ý;Không đồng ý;Không đồng ý;Có thể không đồng ý;Có thể không đồng ý
Đồng ý;Rất đồng ý;Rất đồng ý;Đồng ý;Rất đồng ý;Đồng ý;Có thể đồng ý;Đồng ý;Rất đồng ý;Có thể đồng ý;Đồng ý;Có thể đồng ý;Đồng ý;Rất đồng ý;Đồng ý;Rất đồng ý;Đồng ý;Có thể đồng ý;Có thể đồng ý;Đồng ý;Có thể đồng ý;Có thể đồng ý;Đồng ý;Đồng ý
Có thể đồng ý;Đồng ý;Đồng ý;Có thể đồng ý;Đồng ý;Có thể đồng ý;Có thể không đồng ý;Có thể đồng ý;Đồng ý;Có thể không đồng ý;Có thể đồng ý;Có thể không đồng ý;Có thể đồng ý;Đồng ý;Có thể đồng ý;Đồng ý;Có thể đồng ý;Có thể không đồng ý;Có thể không đồng ý;Có thể đồng ý;Có thể không đồng ý;Có thể không đồng ý;Có thể đồng ý;Có thể đồng ý
Rất đồng ý;Có thể đồng ý;Có thể đồng ý;Rất đồng ý;Có thể đồng ý;Rất đồng ý;Đồng ý;Rất đồng ý;Có thể đồng ý;Đồng ý;Rất đồng ý;Đồng ý;Rất đồng ý;Có thể đồng ý;Rất đồng ý;Có thể đồng ý;Rất đồng ý;Đồng ý;Đồng ý;Rất đồng ý;Đồng ý;Đồng ý;Rất đồng ý;Rất đồng ý
Có thể không đồng ý;Có thể đồng ý;Có thể đồng ý;Có thể không đồng ý;Có thể đồng ý;Có thể không đồng ý;Không đồng ý;Có thể không đồng ý;Có thể đồng ý;Không đồng ý;Có thể không đồng ý;Không đồng ý;Có thể không đồng ý;Có thể đồng ý;Có thể không đồng ý;Có thể đồng ý;Có thể không đồng ý;Không đồng ý;Không đồng ý;Có thể không đồng ý;Không đồng ý;Không đồng ý;Có thể không đồng ý;Có thể không đồng ý
Đồng ý;Rất đồng ý;Rất đồng ý;Đồng ý;Rất đồng ý;Đồng ý;Có thể đồng ý;Đồng ý;Rất đồng ý;Có thể đồng ý;Đồng ý;Có thể đồng ý;Đồng ý;Rất đồng ý;Đồng ý;Rất đồng ý;Đồng ý;Có thể đồng ý;Có thể đồng ý;Đồng ý;Có thể đồng ý;Có thể đồng ý;Đồng ý;Đồng ý
Có thể đồng ý;Đồng ý;Đồng ý;Có thể đồng ý;Đồng ý;Có thể đồng ý;Có thể không đồng ý;Có thể đồng ý;Đồng ý;Có thể không đồng ý;Có thể đồng ý;Có thể không đồng ý;Có thể đồng ý;Đồng ý;Có thể đồng ý;Đồng ý;Có thể đồng ý;Có thể không đồng ý;Có thể không đồng ý;Có thể đồng ý;Có thể không đồng ý;Có thể không đồng ý;Có thể đồng ý;Có thể đồng ý
Rất đồng ý;Có thể đồng ý;Có thể đồng ý;Rất đồng ý;Có thể đồng ý;Rất đồng ý;Đồng ý;Rất đồng ý;Có thể đồng ý;Đồng ý;Rất đồng ý;Đồng ý;Rất đồng ý;Có thể đồng ý;Rất đồng ý;Có thể đồng ý;Rất đồng ý;Đồng ý;Đồng ý;Rất đồng ý;Đồng ý;Đồng ý;Rất đồng ý;Rất đồng ý
Có thể không đồng ý;Có thể đồng ý;Có thể đồng ý;Có thể không đồng ý;Có thể đồng ý;Có thể không đồng ý;Không đồng ý;Có thể không đồng ý;Có thể đồng ý;Không đồng ý;Có thể không đồng ý;Không đồng ý;Có thể không đồng ý;Có thể đồng ý;Có thể không đồng ý;Có thể đồng ý;Có thể không đồng ý;Không đồng ý;Không đồng ý;Có thể không đồng ý;Không đồng ý;Không đồng ý;Có thể không đồng ý;Có thể không đồng ý
Đồng ý;Rất đồng ý;Rất đồng ý;Đồng ý;Rất đồng ý;Đồng ý;Có thể đồng ý;Đồng ý;Rất đồng ý;Có thể đồng ý;Đồng ý;Có thể đồng ý;Đồng ý;Rất đồng ý;Đồng ý;Rất đồng ý;Đồng ý;Có thể đồng ý;Có thể đồng ý;Đồng ý;Có thể đồng ý;Có thể đồng ý;Đồng ý;Đồng ý
Có thể đồng ý;Đồng ý;Đồng ý;Có thể đồng ý;Đồng ý;Có thể đồng ý;Có thể không đồng ý;Có thể đồng ý;Đồng ý;Có thể không đồng ý;Có thể đồng ý;Có thể không đồng ý;Có thể đồng ý;Đồng ý;Có thể đồng ý;Đồng ý;Có thể đồng ý;Có thể không đồng ý;Có thể không đồng ý;Có thể đồng ý;Có thể không đồng ý;Có thể không đồng ý;Có thể đồng ý;Có thể đồng ý
Rất đồng ý;Có thể đồng ý;Có thể đồng ý;Rất đồng ý;Có thể đồng ý;Rất đồng ý;Đồng ý;Rất đồng ý;Có thể đồng ý;Đồng ý;Rất đồng ý;Đồng ý;Rất đồng ý;Có thể đồng ý;Rất đồng ý;Có thể đồng ý;Rất đồng ý;Đồng ý;Đồng ý;Rất đồng ý;Đồng ý;Đồng ý;Rất đồng ý;Rất đồng ý
Có thể không đồng ý;Có thể đồng ý;Có thể đồng ý;Có thể không đồng ý;Có thể đồng ý;Có thể không đồng ý;Không đồng ý;Có thể không đồng ý;Có thể đồng ý;Không đồng ý;Có thể không đồng ý;Không đồng ý;Có thể không đồng ý;Có thể đồng ý;Có thể không đồng ý;Có thể đồng ý;Có thể không đồng ý;Không đồng ý;Không đồng ý;Có thể không đồng ý;Không đồng ý;Không đồng ý;Có thể không đồng ý;Có thể không đồng ý
Đồng ý;Rất đồng ý;Rất đồng ý;Đồng ý;Rất đồng ý;Đồng ý;Có thể đồng ý;Đồng ý;Rất đồng ý;Có thể đồng ý;Đồng ý;Có thể đồng ý;Đồng ý;Rất đồng ý;Đồng ý;Rất đồng ý;Đồng ý;Có thể đồng ý;Có thể đồng ý;Đồng ý;Có thể đồng ý;Có thể đồng ý;Đồng ý;Đồng ý
Có thể đồng ý;Đồng ý;Đồng ý;Có thể đồng ý;Đồng ý;Có thể đồng ý;Có thể không đồng ý;Có thể đồng ý;Đồng ý;Có thể không đồng ý;Có thể đồng ý;Có thể không đồng ý;Có thể đồng ý;Đồng ý;Có thể đồng ý;Đồng ý;Có thể đồng ý;Có thể không đồng ý;Có thể không đồng ý;Có thể đồng ý;Có thể không đồng ý;Có thể không đồng ý;Có thể đồng ý;Có thể đồng ý
Rất đồng ý;Có thể đồng ý;Có thể đồng ý;Rất đồng ý;Có thể đồng ý;Rất đồng ý;Đồng ý;Rất đồng ý;Có thể đồng ý;Đồng ý;Rất đồng ý;Đồng ý;Rất đồng ý;Có thể đồng ý;Rất đồng ý;Có thể đồng ý;Rất đồng ý;Đồng ý;Đồng ý;Rất đồng ý;Đồng ý;Đồng ý;Rất đồng ý;Rất đồng ý
Có thể không đồng ý;Có thể đồng ý;Có thể đồng ý;Có thể không đồng ý;Có thể đồng ý;Có thể không đồng ý;Không đồng ý;Có thể không đồng ý;Có thể đồng ý;Không đồng ý;Có thể không đồng ý;Không đồng ý;Có thể không đồng ý;Có thể đồng ý;Có thể không đồng ý;Có thể đồng ý;Có thể không đồng ý;Không đồng ý;Không đồng ý;Có thể không đồng ý;Không đồng ý;Không đồng ý;Có thể không đồng ý;Có thể không đồng ý
Đồng ý;Rất đồng ý;Rất đồng ý;Đồng ý;Rất đồng ý;Đồng ý;Có thể đồng ý;Đồng ý;Rất đồng ý;Có thể đồng ý;Đồng ý;Có thể đồng ý;Đồng ý;Rất đồng ý;Đồng ý;Rất đồng ý;Đồng ý;Có thể đồng ý;Có thể đồng ý;Đồng ý;Có thể đồng ý;Có thể đồng ý;Đồng ý;Đồng ý
Có thể đồng ý;Đồng ý;Đồng ý;Có thể đồng ý;Đồng ý;Có thể đồng ý;Có thể không đồng ý;Có thể đồng ý;Đồng ý;Có thể không đồng ý;Có thể đồng ý;Có thể không đồng ý;Có thể đồng ý;Đồng ý;Có thể đồng ý;Đồng ý;Có thể đồng ý;Có thể không đồng ý;Có thể không đồng ý;Có thể đồng ý;Có thể không đồng ý;Có thể không đồng ý;Có thể đồng ý;Có thể đồng ý
Rất đồng ý;Có thể đồng ý;Có thể đồng ý;Rất đồng ý;Có thể đồng ý;Rất đồng ý;Đồng ý;Rất đồng ý;Có thể đồng ý;Đồng ý;Rất đồng ý;Đồng ý;Rất đồng ý;Có thể đồng ý;Rất đồng ý;Có thể đồng ý;Rất đồng ý;Đồng ý;Đồng ý;Rất đồng ý;Đồng ý;Đồng ý;Rất đồng ý;Rất đồng ý
Có thể không đồng ý;Có thể đồng ý;Có thể đồng ý;Có thể không đồng ý;Có thể đồng ý;Có thể không đồng ý;Không đồng ý;Có thể không đồng ý;Có thể đồng ý;Không đồng ý;Có thể không đồng ý;Không đồng ý;Có thể không đồng ý;Có thể đồng ý;Có thể không đồng ý;Có thể đồng ý;Có thể không đồng ý;Không đồng ý;Không đồng ý;Có thể không đồng ý;Không đồng ý;Không đồng ý;Có thể không đồng ý;Có thể không đồng ý
Đồng ý;Rất đồng ý;Rất đồng ý;Đồng ý;Rất đồng ý;Đồng ý;Có thể đồng ý;Đồng ý;Rất đồng ý;Có thể đồng ý;Đồng ý;Có thể đồng ý;Đồng ý;Rất đồng ý;Đồng ý;Rất đồng ý;Đồng ý;Có thể đồng ý;Có thể đồng ý;Đồng ý;Có thể đồng ý;Có thể đồng ý;Đồng ý;Đồng ý
Có thể đồng ý;Đồng ý;Đồng ý;Có thể đồng ý;Đồng ý;Có thể đồng ý;Có thể không đồng ý;Có thể đồng ý;Đồng ý;Có thể không đồng ý;Có thể đồng ý;Có thể không đồng ý;Có thể đồng ý;Đồng ý;Có thể đồng ý;Đồng ý;Có thể đồng ý;Có thể không đồng ý;Có thể không đồng ý;Có thể đồng ý;Có thể không đồng ý;Có thể không đồng ý;Có thể đồng ý;Có thể đồng ý
Rất đồng ý;Có thể đồng ý;Có thể đồng ý;Rất đồng ý;Có thể đồng ý;Rất đồng ý;Đồng ý;Rất đồng ý;Có thể đồng ý;Đồng ý;Rất đồng ý;Đồng ý;Rất đồng ý;Có thể đồng ý;Rất đồng ý;Có thể đồng ý;Rất đồng ý;Đồng ý;Đồng ý;Rất đồng ý;Đồng ý;Đồng ý;Rất đồng ý;Rất đồng ý
Có thể không đồng ý;Có thể đồng ý;Có thể đồng ý;Có thể không đồng ý;Có thể đồng ý;Có thể không đồng ý;Không đồng ý;Có thể không đồng ý;Có thể đồng ý;Không đồng ý;Có thể không đồng ý;Không đồng ý;Có thể không đồng ý;Có thể đồng ý;Có thể không đồng ý;Có thể đồng ý;Có thể không đồng ý;Không đồng ý;Không đồng ý;Có thể không đồng ý;Không đồng ý;Không đồng ý;Có thể không đồng ý;Có thể không đồng ý
Đồng ý;Rất đồng ý;Rất đồng ý;Đồng ý;Rất đồng ý;Đồng ý;Có thể đồng ý;Đồng ý;Rất đồng ý;Có thể đồng ý;Đồng ý;Có thể đồng ý;Đồng ý;Rất đồng ý;Đồng ý;Rất đồng ý;Đồng ý;Có thể đồng ý;Có thể đồng ý;Đồng ý;Có thể đồng ý;Có thể đồng ý;Đồng ý;Đồng ý
Có thể đồng ý;Đồng ý;Đồng ý;Có thể đồng ý;Đồng ý;Có thể đồng ý;Có thể không đồng ý;Có thể đồng ý;Đồng ý;Có thể không đồng ý;Có thể đồng ý;Có thể không đồng ý;Có thể đồng ý;Đồng ý;Có thể đồng ý;Đồng ý;Có thể đồng ý;Có thể không đồng ý;Có thể không đồng ý;Có thể đồng ý;Có thể không đồng ý;Có thể không đồng ý;Có thể đồng ý;Có thể đồng ý
Rất đồng ý;Có thể đồng ý;Có thể đồng ý;Rất đồng ý;Có thể đồng ý;Rất đồng ý;Đồng ý;Rất đồng ý;Có thể đồng ý;Đồng ý;Rất đồng ý;Đồng ý;Rất đồng ý;Có thể đồng ý;Rất đồng ý;Có thể đồng ý;Rất đồng ý;Đồng ý;Đồng ý;Rất đồng ý;Đồng ý;Đồng ý;Rất đồng ý;Rất đồng ý
Có thể không đồng ý;Có thể đồng ý;Có thể đồng ý;Có thể không đồng ý;Có thể đồng ý;Có thể không đồng ý;Không đồng ý;Có thể không đồng ý;Có thể đồng ý;Không đồng ý;Có thể không đồng ý;Không đồng ý;Có thể không đồng ý;Có thể đồng ý;Có thể không đồng ý;Có thể đồng ý;Có thể không đồng ý;Không đồng ý;Không đồng ý;Có thể không đồng ý;Không đồng ý;Không đồng ý;Có thể không đồng ý;Có thể không đồng ý
Đồng ý;Rất đồng ý;Rất đồng ý;Đồng ý;Rất đồng ý;Đồng ý;Có thể đồng ý;Đồng ý;Rất đồng ý;Có thể đồng ý;Đồng ý;Có thể đồng ý;Đồng ý;Rất đồng ý;Đồng ý;Rất đồng ý;Đồng ý;Có thể đồng ý;Có thể đồng ý;Đồng ý;Có thể đồng ý;Có thể đồng ý;Đồng ý;Đồng ý
Có thể đồng ý;Đồng ý;Đồng ý;Có thể đồng ý;Đồng ý;Có thể đồng ý;Có thể không đồng ý;Có thể đồng ý;Đồng ý;Có thể không đồng ý;Có thể đồng ý;Có thể không đồng ý;Có thể đồng ý;Đồng ý;Có thể đồng ý;Đồng ý;Có thể đồng ý;Có thể không đồng ý;Có thể không đồng ý;Có thể đồng ý;Có thể không đồng ý;Có thể không đồng ý;Có thể đồng ý;Có thể đồng ý
Rất đồng ý;Có thể đồng ý;Có thể đồng ý;Rất đồng ý;Có thể đồng ý;Rất đồng ý;Đồng ý;Rất đồng ý;Có thể đồng ý;Đồng ý;Rất đồng ý;Đồng ý;Rất đồng ý;Có thể đồng ý;Rất đồng ý;Có thể đồng ý;Rất đồng ý;Đồng ý;Đồng ý;Rất đồng ý;Đồng ý;Đồng ý;Rất đồng ý;Rất đồng ý
Có thể không đồng ý;Có thể đồng ý;Có thể đồng ý;Có thể không đồng ý;Có thể đồng ý;Có thể không đồng ý;Không đồng ý;Có thể không đồng ý;Có thể đồng ý;Không đồng ý;Có thể không đồng ý;Không đồng ý;Có thể không đồng ý;Có thể đồng ý;Có thể không đồng ý;Có thể đồng ý;Có thể không đồng ý;Không đồng ý;Không đồng ý;Có thể không đồng ý;Không đồng ý;Không đồng ý;Có thể không đồng ý;Có thể không đồng ý
Đồng ý;Rất đồng ý;Rất đồng ý;Đồng ý;Rất đồng ý;Đồng ý;Có thể đồng ý;Đồng ý;Rất đồng ý;Có thể đồng ý;Đồng ý;Có thể đồng ý;Đồng ý;Rất đồng ý;Đồng ý;Rất đồng ý;Đồng ý;Có thể đồng ý;Có thể đồng ý;Đồng ý;Có thể đồng ý;Có thể đồng ý;Đồng ý;Đồng ý
Có thể đồng ý;Đồng ý;Đồng ý;Có thể đồng ý;Đồng ý;Có thể đồng ý;Có thể không đồng ý;Có thể đồng ý;Đồng ý;Có thể không đồng ý;Có thể đồng ý;Có thể không đồng ý;Có thể đồng ý;Đồng ý;Có thể đồng ý;Đồng ý;Có thể đồng ý;Có thể không đồng ý;Có thể không đồng ý;Có thể đồng ý;Có thể không đồng ý;Có thể không đồng ý;Có thể đồng ý;Có thể đồng ý
Rất đồng ý;Có thể đồng ý;Có thể đồng ý;Rất đồng ý;Có thể đồng ý;Rất đồng ý;Đồng ý;Rất đồng ý;Có thể đồng ý;Đồng ý;Rất đồng ý;Đồng ý;Rất đồng ý;Có thể đồng ý;Rất đồng ý;Có thể đồng ý;Rất đồng ý;Đồng ý;Đồng ý;Rất đồng ý;Đồng ý;Đồng ý;Rất đồng ý;Rất đồng ý
Có thể không đồng ý;Có thể đồng ý;Có thể đồng ý;Có thể không đồng ý;Có thể đồng ý;Có thể không đồng ý;Không đồng ý;Có thể không đồng ý;Có thể đồng ý;Không đồng ý;Có thể không đồng ý;Không đồng ý;Có thể không đồng ý;Có thể đồng ý;Có thể không đồng ý;Có thể đồng ý;Có thể không đồng ý;Không đồng ý;Không đồng ý;Có thể không đồng ý;Không đồng ý;Không đồng ý;Có thể không đồng ý;Có thể không đồng ý
Đồng ý;Rất đồng ý;Rất đồng ý;Đồng ý;Rất đồng ý;Đồng ý;Có thể đồng ý;Đồng ý;Rất đồng ý;Có thể đồng ý;Đồng ý;Có thể đồng ý;Đồng ý;Rất đồng ý;Đồng ý;Rất đồng ý;Đồng ý;Có thể đồng ý;Có thể đồng ý;Đồng ý;Có thể đồng ý;Có thể đồng ý;Đồng ý;Đồng ý
Có thể đồng ý;Đồng ý;Đồng ý;Có thể đồng ý;Đồng ý;Có thể đồng ý;Có thể không đồng ý;Có thể đồng ý;Đồng ý;Có thể không đồng ý;Có thể đồng ý;Có thể không đồng ý;Có thể đồng ý;Đồng ý;Có thể đồng ý;Đồng ý;Có thể đồng ý;Có thể không đồng ý;Có thể không đồng ý;Có thể đồng ý;Có thể không đồng ý;Có thể không đồng ý;Có thể đồng ý;Có thể đồng ý
Rất đồng ý;Có thể đồng ý;Có thể đồng ý;Rất đồng ý;Có thể đồng ý;Rất đồng ý;Đồng ý;Rất đồng ý;Có thể đồng ý;Đồng ý;Rất đồng ý;Đồng ý;Rất đồng ý;Có thể đồng ý;Rất đồng ý;Có thể đồng ý;Rất đồng ý;Đồng ý;Đồng ý;Rất đồng ý;Đồng ý;Đồng ý;Rất đồng ý;Rất đồng ý
Có thể không đồng ý;Có thể đồng ý;Có thể đồng ý;Có thể không đồng ý;Có thể đồng ý;Có thể không đồng ý;Không đồng ý;Có thể không đồng ý;Có thể đồng ý;Không đồng ý;Có thể không đồng ý;Không đồng ý;Có thể không đồng ý;Có thể đồng ý;Có thể không đồng ý;Có thể đồng ý;Có thể không đồng ý;Không đồng ý;Không đồng ý;Có thể không đồng ý;Không đồng ý;Không đồng ý;Có thể không đồng ý;Có thể không đồng ý
Đồng ý;Rất đồng ý;Rất đồng ý;Đồng ý;Rất đồng ý;Đồng ý;Có thể đồng ý;Đồng ý;Rất đồng ý;Có thể đồng ý;Đồng ý;Có thể đồng ý;Đồng ý;Rất đồng ý;Đồng ý;Rất đồng ý;Đồng ý;Có thể đồng ý;Có thể đồng ý;Đồng ý;Có thể đồng ý;Có thể đồng ý;Đồng ý;Đồng ý
Có thể đồng ý;Đồng ý;Đồng ý;Có thể đồng ý;Đồng ý;Có thể đồng ý;Có thể không đồng ý;Có thể đồng ý;Đồng ý;Có thể không đồng ý;Có thể đồng ý;Có thể không đồng ý;Có thể đồng ý;Đồng ý;Có thể đồng ý;Đồng ý;Có thể đồng ý;Có thể không đồng ý;Có thể không đồng ý;Có thể đồng ý;Có thể không đồng ý;Có thể không đồng ý;Có thể đồng ý;Có thể đồng ý
Rất đồng ý;Có thể đồng ý;Có thể đồng ý;Rất đồng ý;Có thể đồng ý;Rất đồng ý;Đồng ý;Rất đồng ý;Có thể đồng ý;Đồng ý;Rất đồng ý;Đồng ý;Rất đồng ý;Có thể đồng ý;Rất đồng ý;Có thể đồng ý;Rất đồng ý;Đồng ý;Đồng ý;Rất đồng ý;Đồng ý;Đồng ý;Rất đồng ý;Rất đồng ý
Có thể không đồng ý;Có thể đồng ý;Có thể đồng ý;Có thể không đồng ý;Có thể đồng ý;Có thể không đồng ý;Không đồng ý;Có thể không đồng ý;Có thể đồng ý;Không đồng ý;Có thể không đồng ý;Không đồng ý;Có thể không đồng ý;Có thể đồng ý;Có thể không đồng ý;Có thể đồng ý;Có thể không đồng ý;Không đồng ý;Không đồng ý;Có thể không đồng ý;Không đồng ý;Không đồng ý;Có thể không đồng ý;Có thể không đồng ý
Đồng ý;Rất đồng ý;Rất đồng ý;Đồng ý;Rất đồng ý;Đồng ý;Có thể đồng ý;Đồng ý;Rất đồng ý;Có thể đồng ý;Đồng ý;Có thể đồng ý;Đồng ý;Rất đồng ý;Đồng ý;Rất đồng ý;Đồng ý;Có thể đồng ý;Có thể đồng ý;Đồng ý;Có thể đồng ý;Có thể đồng ý;Đồng ý;Đồng ý
Có thể đồng ý;Đồng ý;Đồng ý;Có thể đồng ý;Đồng ý;Có thể đồng ý;Có thể không đồng ý;Có thể đồng ý;Đồng ý;Có thể không đồng ý;Có thể đồng ý;Có thể không đồng ý;Có thể đồng ý;Đồng ý;Có thể đồng ý;Đồng ý;Có thể đồng ý;Có thể không đồng ý;Có thể không đồng ý;Có thể đồng ý;Có thể không đồng ý;Có thể không đồng ý;Có thể đồng ý;Có thể đồng ý
Rất đồng ý;Có thể đồng ý;Có thể đồng ý;Rất đồng ý;Có thể đồng ý;Rất đồng ý;Đồng ý;Rất đồng ý;Có thể đồng ý;Đồng ý;Rất đồng ý;Đồng ý;Rất đồng ý;Có thể đồng ý;Rất đồng ý;Có thể đồng ý;Rất đồng ý;Đồng ý;Đồng ý;Rất đồng ý;Đồng ý;Đồng ý;Rất đồng ý;Rất đồng ý
Có thể không đồng ý;Có thể đồng ý;Có thể đồng ý;Có thể không đồng ý;Có thể đồng ý;Có thể không đồng ý;Không đồng ý;Có thể không đồng ý;Có thể đồng ý;Không đồng ý;Có thể không đồng ý;Không đồng ý;Có thể không đồng ý;Có thể đồng ý;Có thể không đồng ý;Có thể đồng ý;Có thể không đồng ý;Không đồng ý;Không đồng ý;Có thể không đồng ý;Không đồng ý;Không đồng ý;Có thể không đồng ý;Có thể không đồng ý
Đồng ý;Rất đồng ý;Rất đồng ý;Đồng ý;Rất đồng ý;Đồng ý;Có thể đồng ý;Đồng ý;Rất đồng ý;Có thể đồng ý;Đồng ý;Có thể đồng ý;Đồng ý;Rất đồng ý;Đồng ý;Rất đồng ý;Đồng ý;Có thể đồng ý;Có thể đồng ý;Đồng ý;Có thể đồng ý;Có thể đồng ý;Đồng ý;Đồng ý
Có thể đồng ý;Đồng ý;Đồng ý;Có thể đồng ý;Đồng ý;Có thể đồng ý;Có thể không đồng ý;Có thể đồng ý;Đồng ý;Có thể không đồng ý;Có thể đồng ý;Có thể không đồng ý;Có thể đồng ý;Đồng ý;Có thể đồng ý;Đồng ý;Có thể đồng ý;Có thể không đồng ý;Có thể không đồng ý;Có thể đồng ý;Có thể không đồng ý;Có thể không đồng ý;Có thể đồng ý;Có thể đồng ý
Rất đồng ý;Có thể đồng ý;Có thể đồng ý;Rất đồng ý;Có thể đồng ý;Rất đồng ý;Đồng ý;Rất đồng ý;Có thể đồng ý;Đồng ý;Rất đồng ý;Đồng ý;Rất đồng ý;Có thể đồng ý;Rất đồng ý;Có thể đồng ý;Rất đồng ý;Đồng ý;Đồng ý;Rất đồng ý;Đồng ý;Đồng ý;Rất đồng ý;Rất đồng ý
Có thể không đồng ý;Có thể đồng ý;Có thể đồng ý;Có thể không đồng ý;Có thể đồng ý;Có thể không đồng ý;Không đồng ý;Có thể không đồng ý;Có thể đồng ý;Không đồng ý;Có thể không đồng ý;Không đồng ý;Có thể không đồng ý;Có thể đồng ý;Có thể không đồng ý;Có thể đồng ý;Có thể không đồng ý;Không đồng ý;Không đồng ý;Có thể không đồng ý;Không đồng ý;Không đồng ý;Có thể không đồng ý;Có thể không đồng ý